model,RMSE,MAE
Baseline,0.9812656848367967,0.7518023377688421
MatrixFactorization,0.896850648994726,0.7029944443240538
SVD++,0.9187082549041323,0.727528811658035
KNN,0.9715757584626717,0.7478962161906272
Hybrid,0.921865726654942,0.7406626242476377
