model,Precision@10,Recall@10,Diversity@10,Novelty@10,SerendipityProxy@10
BaselineModel,0.011456628477905073,0.004801508782450681,0.8387461356610294,0.6027196263850844,0.7207328810230569
MatrixFactorization,0.2155482815057283,0.18713586297906262,0.8250403156076915,0.4640998140345131,0.6445700648211024
HybridModel,0.07364975450081833,0.05078556505986256,0.5729060262038986,0.5550210963504139,0.5639635612771563
SVDPP,0.4474631751227496,0.43790854800740553,0.8168439152127096,0.17616235616437076,0.49650313568854015
KNNModel,0.04680851063829788,0.03141351058795124,0.780178546171454,0.336620721136852,0.5583996336541529
